id,zhh,zhh_pron,alias_zhh,alias_zhh_r18,chs,en,note_chs,note_en,variants_chs,variants_en,owner_tag,sig_code
L134,咪係,mai6 hai6,咪就係；之唔係,,就是啊/就是/不就是/难道不是吗/对极了/可不是吗/要你说吗,That's right/That's right/to be/isn't it like that/tell me about it,副词：用于强烈肯定对方说法，相当于就是啊，对极了。,"adv: Used to strongly affirm what the other person says, equivalent to ""Yes, that's right!"" or ""Absolutely right!"" It carries a tone of agreement or emphasis.",用法：常用于“不就是”的意思，其次附和或强调语气，多数应付前者吐槽作出的反应,"usage: Commonly used to mean ""isn't it?"", secondly to echo or emphasize, and mostly as a response to the former's sarcastic remarks.",CanTong Lexicon 2025,134
L135,咪噉啦,mai5 gam2 laa1,冇噉啦,,别这样/不要这样,Don't do that,副词：别这样，不要这样,"adv: Don't do that, don't do that",用法：劝阻性短語，（噉）指（这样）整体意思是（別这样啦）。常用于缓和对方情绪。,"usage: A dissuasive phrase, (噉) meaning ""don't do that."" It is often used to calm the other person down.",CanTong Lexicon 2025,135
L136,咪搞,mai5 gaau2,咪搞我,,别碰/别插手/别招惹,Don't include/ involve me/don't count me in/Don't touch/Don't interfere/Don't provoke,副词：别碰，别插手，别招惹，带有警告或者无奈语气,"adv: Don't touch, don't interfere, don't provoke; carries a warning or helpless tone.",用法：（表示拒绝或不予考虑）不要把我包括在内/牵扯进来；不要把我算进去,usage: (Indicating refusal or non-consideration) Don't include me/get me involved; don't count me in.,CanTong Lexicon 2025,136
L137,咪書,mai5 syu1,温書,,看书/复习/使劲读书,to study hard/to read books excessively,动词：努力学习；埋头苦读,v: to study hard; to hit the books,用法：通常形容临近考试前的考生拼命复习的状态,usage: Usually used to describe the state of students studying frantically before an exam.,CanTong Lexicon 2025,137
L138,咪喐,mai5 juk1,咪郁；唔好喐,,别动,don't move,动词：就是禁止移动或保持静止的命令,v: a command to prohibit movement or keep still.,用法：1，警告他人禁止移动。 2，警告他人别碰自己的东西,usage: 1. To warn others not to move. 2. To warn others not to touch your belongings.,CanTong Lexicon 2025,138
L139,冇料,mou5 liu6 dou3,冇料到；廢柴；廢物；無用,,没能力/水平低/没出息/没本事/没有本事/没能耐/没消息/没惊喜,incapable/Incompetent/low-skilled/unambitious/lacking ability/incapable/no news/no surprises,形容词：某人没本事，也可引申为生理有缺陷，带有贬义，另外意思形容没有惊喜消息,"adj: The phrase ""someone is incompetent"" can also be used to describe someone with a physical defect, carrying a negative connotation. It can also describe a situation where there is no exciting news or surprises.",用法：形容缺乏知识或技能，一无所有，攻击，形容看不起对方。同时形容没有新动态的意思,"usage: It describes someone who lacks knowledge or skills, is penniless, and is offensive or shows contempt for someone. It also implies a lack of new developments or updates.",CanTong Lexicon 2025,139
L140,有料,jau5 liu2,有料到,,有本事/有才干/有能耐/有出息/有新闻/有消息/有惊喜/有学问,impressive/capable/gossip/rich/Talented/Successful/Promising/Newsworthy/Information/Surprising/Knowledgeable,形容词：一般是指某人有本事或有来头，带有褒义，另外意思形容有新消息,"adj: It generally refers to someone being capable or having connections, carrying a positive connotation. It can also mean having new information.",用法：形容有本事，赞赏，形容佩服对方。同时也可以形容有新消息的意思,"usage: It describes someone as capable, expresses admiration, or shows respect for the other person. It can also mean there is new information.",CanTong Lexicon 2025,140
L141,乜料,mat1 liu2,咩料；乜嘢​來頭；咩​來頭；咩嘢料；乜嘢料,,什么事/怎么样/怎么回事/什么状况/什么情况/怎么一回事,What happened/How is it/What's going on/What's the situation/What's the circumstances/How did it all happen?/what's up?,代词：对某人事物产生疑问，从哪来的，什么来头,pron: to mean a doubt of the background of someone/something,用法：表示疑问、不解，也常带点轻蔑或不屑的语气,"usage: Used to express doubt or confusion, often with a hint of contempt or disdain.",CanTong Lexicon 2025,141
L142,不嬲,bat1 lau1,"不溜；一貫,；素来；始終；向来；一路；歷來；一楼",,一直/一向/向来/经常/始终/从来/历来,always/all along/consistently,副词：习惯的意思，一直这样，一向如此,"adv: Habit means that it has always been this way, always been the way it is.",用法：表达一种持续的状态或习惯,usage: To express a persistent state or habit.,CanTong Lexicon 2025,142
L143,點酱油,dim2 zoeng3 jau4,點豉油；點啲酱油,,蘸酱油/蘸点酱油,Dip in soy sauce / dip in a little soy sauce,动词：将食物（如饺子、寿司）浸入酱油中以调味,v: To dip food (such as dumplings or sushi) into soy sauce for seasoning.,用法：形容沾上酱油，增加风味这个行为,usage: Describes the act of dipping something in soy sauce to enhance its flavor.,CanTong Lexicon 2025,143
L144,冚唪唥,ham6 baang6 laang6,冚家；統統；通通,,全部/所有/一切/总共/总计,all/entire/every/everything/Total,代词、限定词、形容詞：源于洋涇浜英语：hampalang，来自粤语：咸埋包來，或英語 home balance，或閩南y语 ：含巴拢 ，或吳语：亨八冷打，福建閩东语：含把担，统称总计，总共的意思,"Pron, dt, adj: Derived from the slang English word ""hampalang,"" from Cantonese ""咸埋包來,"" or English ""home balance,"" or Hokkien ""含巴拢,"" or Wu dialect ""亨八冷打,"" and from Eastern Fujian Hokkien ""含把担,"" collectively meaning total, sum, or total.",用法：表示沒有例外地囊括所有事物,usage: Indicates that it encompasses all things without exception.,CanTong Lexicon 2025,144
L145,手頭緊,sau2 tau4 gan2,冇乜錢；冇咩錢；水緊；等錢使,,没什么钱/没钱/缺钱/贫困,"Not much money/short of money
/hard up",形容词：钱快用完了，资金紧张，缺钱,"adj: running out of money, cash strapped, short of money",用法：多形用于不想花钱，或者花大钱的回答，必须精打细算的情况,"usage: This form is used for responses indicating a reluctance to spend money, or for situations where spending a large sum of money is undesirable and careful budgeting is necessary.",CanTong Lexicon 2025,145
L146,唔覺意,m4 gok3 ji3,唔​係​有心；不留神；唔小心；冇留意；無意間；不经已,,没察觉到/没意识到/没留意/无意间/不留神/不小心/没注意/无意中,insentiently/unintentionally/accidentally,副词：无意的；并非故意的；粗心的,adv: unintentionally; not on purpose; carelessly,用法：不是故意，无意中发生的情况，可用于解释行为不是故意造成的，也可表达自己当下没察觉或因疏忽而发生的事。,"usage: It refers to situations that are not intentional or occur unintentionally. It can be used to explain that the behavior was not intentional, or to express that one was unaware of something at the time or that it happened due to negligence.",CanTong Lexicon 2025,146
L147,估唔到,gu2 m4 dou2,估都估唔到；冇諗到；冇諗過；真係估唔到,,没想到/没料到/出乎意料/猜不到,didn't expect that/never thought so/didn't see that coming,动词：表示事前没有预料到某个结果，常带有惊讶、感叹，有时夹杂无奈或佩服的语气，多用于陈述已经发生的事情。,"v: used when the speaker did not anticipate the outcome; usually carries a tone of surprise, sometimes mixed with resignation or admiration, and typically refers to events that have already happened.",用法：多用于在得知结果之后，对事件的发展或他人的行为作出评价；适合用于口语对话、聊天记录或评论区中，简短表达“完全超出原本预期”的感觉。,"usage: mainly used after learning about a result to comment on how unexpected it was; common in everyday conversation, messages, or online comments as a concise way to say something turned out completely differently from what was expected.",CanTong Lexicon 2025,147
L148,整色整水,zing2 sik1 zing2 seoi2,整鬼扮马；搞姿整；扮晒嘢；花臣；得个样,,搞花样/花里胡哨/装模作样/讲究排场/重形式,she`s a karen/being extra/make color make water/overly showy/flashy/fussy about appearances/all style no substance/make a fuss over looks,形容词：多用来形容人在打扮、摆设、办活动等方面过分花巧、重外表轻内容，只顾好看或排场，不太实际，语气通常带有嫌弃或贬义。,"adj: used for people or things that put excessive effort into looks or fancy presentation, focusing on appearance and theatrics rather than practicality or substance; generally disapproving.",用法：常用来批评别人打扮或布置太花巧，例如「着到咁整色整水做乜啫？」、「搞活动唔好咁整色整水，实用啲好」；亦可形容设计或品牌「得个样」，只有外表冇内容。,"usage: often used to criticise outfits, décor or events that are too ornate or fussy, e.g. someone being dressed in an over-the-top way or an event that is overly staged; can also describe designs or brands that look good on the surface but lack real substance.",CanTong Lexicon 2025,148
L149,特登,dak6 dang1,專登；特意；有心,,故意/特意/专门/刻意/有意为之,on purpose/deliberately/intentionally/especially/make a special effort,副词：表示有意识地、故意地去做某事，强调行动不是偶然发生，而是带着明确目的或态度去安排，有时带有抱怨或指责的语气。,"adv: describes doing something deliberately or on purpose, highlighting that the action is planned rather than accidental, sometimes with a tone of complaint or blame.",用法：多放在动词前面强调“这是故意的”或“特地这样做”，常用于描述别人明知后果仍然坚持某种做法，或为了某个目的刻意安排行动，也可引申为“特地跑一趟、特意来帮忙”的意思。,"usage: typically placed before a verb to stress that the action is intentional, often used when someone knowingly acts in a certain way or makes a special effort for a particular reason; can also imply that a person went out of their way or made a special trip to do something.",CanTong Lexicon 2025,149
L150,淨係,zing6 hai6,只係,,只是,,只係：陈述事实或情况(语气较中性) 淨係：强调限制性排他性、唯一性,,我只是想帮你,,CanTong Lexicon 2025,150
L151,爛gag,,,,烂笑话；冷笑话,,,"a bad joke, especially a bad pun; a dad joke",,,CanTong Lexicon 2025,151
L152,搞gag,,,,制造笑话，搞笑,,,,,,CanTong Lexicon 2025,152
L153,你老母,nei5 lou5 mou2 ,你老味；你鹵味,,你妈,Your mother,,,,,CanTong Lexicon 2025,153
L154,二五仔,ji6 ng5 zai2,內鬼；鬼頭仔；反骨仔,,叛徒/奸细,traitor,名词：勾结敌人​，​出卖​自己​​人​,,,,CanTong Lexicon 2025,154
L155,老懵咗,lou5 mung2 zo2,老懵懂,,你没事吧/老糊涂,,,,,,CanTong Lexicon 2025,155
L156,淆底,ngaau4 dai2,打退堂鼓；笠水；縮沙；怯；臨陣退縮；退縮 ,,怂了/认怂了/临阵退缩/放弃,to give up/give up/get cold feet/freaked out/get cold feet/don`t bail on me/Don't back out now/Don't leave me hanging/Don't let me down,形容词：因为​害怕​而​不敢行动,adj: To be afraid to act,,,CanTong Lexicon 2025,156
L157,瘀嘢,jyu2 je5,,,倒霉的事,,,,,,CanTong Lexicon 2025,
L158,托柒,tok3 cat1,做咩；把撚,,干嘛；干叼,,,,,,CanTong Lexicon 2025,
L159,走鬼,zau2 gwai2,無​牌​小​販,,小贩,vendor/unlicensed street vendor,名词：,,,,CanTong Lexicon 2025,
L160,手推車,sau2 teoi1 ce1,車仔,,手推车,trolley,名词：,,,,CanTong Lexicon 2025,
L161,鹌鹑,am1 ceon1,細膽；蛇呱,,懦夫,coward,形容词：形容胆子小​、​,,,,CanTong Lexicon 2025,
L162,蛇呱,se4 gwe1,蛇gwe；蛇𠺌,,懦弱,scare,,,,,CanTong Lexicon 2025,
L163,冇吉士,mou5 gat1 si2,冇膽匪類；龜缩,,没胆量,no guts/get cold feet,形容词：吉士是英文guts简化而来,"adj: 吉士 (gíshì) is a simplified form of the English word ""guts"".",形容人没有勇气胆量的意思,,CanTong Lexicon 2025,
L164,驚,ging1,生人唔生膽；船頭驚鬼，船尾驚賊；怯,,害怕/胆小,cowardly,,,,,CanTong Lexicon 2025,
L165,怪雞,gwaai3 gai1,古怪；騎呢古怪；怪雞；古灵精怪；騎呢怪；𠵇𠺫,,奇怪打扮,strange,,,,,CanTong Lexicon 2025,
L166,该煨,goi1 wui1,折墮；撞鬼,,糟糕,terrible,形容词：真倒霉·真糟糕·太不幸了，形容凄惨或者不幸嘅坏事发生。,"adj: really unlucky, really bad, really unfortunate, describing a miserable or unfortunate event.",,,CanTong Lexicon 2025,
L167,緊要關頭,gan2 jiu3 gwaan1 tau4,,,时间紧迫,critical juncture/critical moment,紧急而重要的时刻（成语）；关键时刻,urgent and important moment (idiom); critical juncture,,,CanTong Lexicon 2025,
L168,匙挞胆,ci4 taat1 daam,光管启动器；是撚但,,灯管启动器,starter,名词：80 90年代灯管的启动器内胆,Noun: Starter cartridge for light bulbs from the 1980s and 1990s,,,CanTong Lexicon 2025,
L169,心悒,sam1 ngap1,心up；心噏,,难过,anxious,,,,,CanTong Lexicon 2025,
L170,耷,dap1,咁耷,,失落,Loss,,,,,CanTong Lexicon 2025,
L171,藞苴,laa5 zaa2,嗱渣；揦鲊；唔干净,,不择手段,play hard,,,,,CanTong Lexicon 2025,
L172,𢫏被,kam2 pei5,,,盖被子,Cover yourself with a blanket,,,,,CanTong Lexicon 2025,
L173,畀,bei2,畀钱；畀本书我,,给/给予,,,,,,CanTong Lexicon 2025,
L174,俾,bei2,俾我试试,,使/让,,,,,,CanTong Lexicon 2025,
L175,肉緊,juk6 gan2,,,着急/揪心,,,,,,CanTong Lexicon 2025,
L176,從頭嚟過,cung4 tau4 lai4 gwo3,,,重新开始/从头再来,back to the drawing board,,,,,CanTong Lexicon 2025,
L177,廢話少講,fai3 waa2 siu2 gong2,講多無謂；講经咩,,长话少说/少说废话,make a long story short,,,,,CanTong Lexicon 2025,
L178,好明顯,hou3 ming4 hin2,明顯到閪噉；好明顯啦,,显而易见,no brainer,,,,,CanTong Lexicon 2025,
L179,一口咬定,jat1 hau2 ngaau5 ding6,,,,to arbitrarily assert/to allege/to stick to one's statement/to cling to one's view,强调；明确地指责,to insist emphatically; to accuse sby in a definite manner,,,CanTong Lexicon 2025,
L180,作賊心虛,zok3 caak3 sam1 heoi1,心虚,,做贼心虚/心虚,Have a guilty conscience/Guilty,做错事后，害怕被揭穿而感到不安,to feel uneasy when one is afraid of being exposed after a wrong-doing,,,CanTong Lexicon 2025,
L181,我屌,ngo5 diu2,,,卧槽,holy moly,,,,,CanTong Lexicon 2025,
L182,起身啦,hei2 san1 laa1,,,起床啦,wakey wakey,,,,,CanTong Lexicon 2025,
L183,一陣見,jat1 zan6 gin3,,,回头见,later gator,,,,,CanTong Lexicon 2025,
L184,大佬,daai6 lou2,啊頭,,扛把子；哥；大哥；头目；兄长,elder brother/head of department/head of chef/leader/godfather/big shot,,,,,CanTong Lexicon 2025,
L185,你想飲啲乜,nei5 soeng2 jam2 di1 mat1,你想飲乜閪；你想飲乜撚；你想飲乜鳩；飲乜,,你想喝点什么,what`s your posion,,,,,CanTong Lexicon 2025,
L186,撲亲,pok3 can1,撲街,,跌倒,Fall down,（俗语）,(proverb),,,CanTong Lexicon 2025,
L187,冇,mou5,,,没有,no/nothing/have not/did not/don`t/didn`t,,,,,CanTong Lexicon 2025,
L188,罷就,baa6 zau6,𨳍就；鳩就；算數​；柒就,,算了/算了吧,Forget it/Let it go,算了；用来表达“我不在乎”的态度,"forget it; used to express an ""I don't care"" attitude",,,CanTong Lexicon 2025,
L189,義氣,ji6 hei3,講義氣；夠雷；唔話得；有雷气；有雷,,忠诚/义气/没话说,loyalty/brotherhood/eat no fish,名词：,,,,CanTong Lexicon 2025,
L190,唔好理,m4 hou2 lei5,咪理；冇理；冇理咁多；冇理咁多,,别管/不要管,stay out of/,,,,,CanTong Lexicon 2025,
L191,諗都冇好諗,nam2 dou1 mou5 hou2 nam2,唔使旨意；咪使旨意；等下世啦；下世啦；唔可能,,做梦吧/想都别想/做梦/不可能,when pigs fly/impossible,,,,,CanTong Lexicon 2025,
L192,冇可能,mou5 ho2 nang4,諗多咗,,没可能/不可能,impossible,,,,,CanTong Lexicon 2025,
L193,諗多咗,nam2 do1 zo2,,,想多了/想太多了/想了太多,,,,,,CanTong Lexicon 2025,
L194,畀你幸到啦,bei3 nei5 han6 dou3 laa1,俾你等到喇；得償所願,,得偿所愿；被你盼望到了；愿望成真,,非常渴望某样东西，然后最终得到了它,"to want something very much, and subsequently getting it",,,CanTong Lexicon 2025,
L195,個世界真係細,:go3 sai3 gaai3 zan1 hai6 sai3,又会細到噉嘎,,好巧噢/好巧/世界真小,it`s a small world,,,,,CanTong Lexicon 2025,
L196,好耶,hou2 je5,好嘢；掂吖；正,,太好了,I`m on cloud nine,,,,,CanTong Lexicon 2025,
L197,眼㾓,ngaan5 jyun1,眼冤,,看不顺眼/感到讨厌/感到反感,,,to feel dislike or disgust for something one sees,,,CanTong Lexicon 2025,
L198,山旮旯,saan1 kaa1 laa1,隔涉；山卡啦；山卡罅；山旯旮,,荒芜/偏僻/偏僻的地方/很偏僻/偏远,remote/backwoods/wild/out of the way,形容词：一個​地方​偏远​、​荒芜​、没人去的郊区偏僻的地方,,,,CanTong Lexicon 2025,
L199,䟴脚,ngan3 goek3,扤腳；un腳；印腳；歎世界,,抖腿/抖脚/享受生活,to shake one's leg/to enjoy life/shake one's leg,,,,,CanTong Lexicon 2025,
L200,嘆世界,taan3 sai3 gaai3,歎世界,,"享受生活/享受人生/享福/享清福
",to enjoy life/enjoy life/enjoy,,enjoying like going round the world,,,CanTong Lexicon 2025,
L201,俹簁,naa2 sai1,"大意, 潦草, 馬虎, 疏忽, 粗心, 邋糊",,随意/不上心/马虎/疏忽/粗心,careless/sloppy/slapdash/slipshod/,,,,,CanTong Lexicon 2025,
L202,的式,dik1 sik1,趣​緻​；菂薂；的骰,,小巧玲珑/精致,petite/diminutive/cute and small,指​物件​细小​又精美​,,,,CanTong Lexicon 2025,
L203,奄尖,jim1 zim1,揀擇,,挑剔/腌尖/难以取悦,fussy/picky/fastidious/choosy/hard to please,,,,,CanTong Lexicon 2025,
L204,水蛇春咁長,seoi2 se4 ceon1 gam3 coeng4,,,超长/超级长,extremely long or lengthy,形容词：比喻超级长的意思,"adj: Cantonese, of a list, usually",,,CanTong Lexicon 2025,
L205,有風駛盡𢃇,jau5 fung1 sai2 zeon6 lei5,有風駛盡你,,极限压榨/有风驶尽你,,人做事不留余地，持势凌人,,,,CanTong Lexicon 2025,
L206,禾稈冚珍珠,wo4 gon2 kam2 zan1 zyu1,,,人不可貌相,,外表看似普通。但暗藏玄机或者实力不容忽视,,比较常形容人装穷，明明富裕也装穷,,CanTong Lexicon 2025,
L207,識趣,sik1 ceoi3,,,识趣,,,,,,CanTong Lexicon 2025,
L208,闷閪,mun6 hai1,,,闷骚,Surprise package/Man show,,,,,CanTong Lexicon 2025,
L209,挐掕,laa1 lang3,挐褦；​關​係；拿掕,,瓜葛/啦㨢/啦掕/关系/关联/啦能,linkage/relation,名词：(古义用绳索勒住马时期停止) 引申互相牵连，关联，瓜葛,"Noun: (archaic meaning: to stop the period when a horse is restrained by a rope) Extended meaning: interconnected, related, entangled","冇挐挐，多笪𤶸
     我挐你讲",,CanTong Lexicon 2025,
L210,唔啱偈,m4 ngam1 gei2,,,合不来/道不同不相为谋,,,,,,CanTong Lexicon 2025,
L211,一揪二掕, jat1 cau1 ji6 lang3 ,,,一抽二掕,,形容词：拎着很多装满东西的袋子，字面意思是，拉着一个，拖着另外两个。,"adj: carrying a lot of filled bags, literally, pulling one, and dragging two others",,,CanTong Lexicon 2025,
,涮牛肉,saan3 ngau4 juk6,,,,,,,,,CanTong Lexicon 2025,
,滿載而歸,mun5 zoi3 ji4 gwai1,,,,,,,,,CanTong Lexicon 2025,
,堀北真希,fat1 bak1 zan1 hei1,,,,,,,,,CanTong Lexicon 2025,
,心掛掛,sam1 gwaa3 gwaa3,掛住​；​牽腸​掛肚；擔心​；​唔​放心,,想着某人/心挂挂/担心别人,keep thinking/missing/to worry,动词：,to miss someone,用法：一般形容想念人或者担心人,,CanTong Lexicon 2025,
,心思思,sam1 si1 si1,,,渴望/念念不忘,to constantly think about/Longing/Unforgettable,动词：渴望（一种不安的欲望，想要做某事）想念，一直想着某事（副词）,v: itching to (a restless desire to do something); hankering to; longing to; to keep on thinking about something (adverb) to have something at the back of one's mind constantly,用法：一般形容想拥有某样东西却因为某些原因得不到,,CanTong Lexicon 2025,
,心郁郁,sam1 juk1 juk1,,,想去做,Want to do,动词：想去做某事，内心深处有一种想要做某事的念头，这种念头常常因为犹豫不决而被暂时压抑或未能实现。,"v: to have a slight desire, often temporarily repressed or unfulfilled due to indecision, to do something",用法：一般形容想去做却因为某些原因做不了,usage: Generally used to describe doing something but being unable to do it for some reason.,CanTong Lexicon 2025,
,嬲,nau1,,,生气,angry/to get angry/to take offence/to detest,,,,,CanTong Lexicon 2025,
,火滚,fo2 gwan2,㷫,,很生气,maddening/pissed off/irate,,adj: infuriating; maddening; angry; pissed off; irate,,,CanTong Lexicon 2025,
,嬲爆爆,nau1 baau3 baau3,㷫烚烚,,非常生气/嫐爆爆,furious/enraged/infuriated,,,,,CanTong Lexicon 2025,
,㷫過辣雞,hing3 gwo3 naat3 gai1,㷫過火屎；㷫過焫雞,,超级无敌生气/兴过辣鸡/兴过火屎,furious/fuming/very angry/extremely angry,,,,,CanTong Lexicon 2025,
,吹脹,ceoi1 zoeng3,,,气死/吹胀,to blow up/to exasperate/to irritate,,"adj: Frustrated, pissed off because of being annoyed",使某人感到荒谬，使人感到羞耻,,CanTong Lexicon 2025,
,㷫烚烚,hing3 hap6 hap6,,,兴奋/热烘烘,very hot/so hot,,,,,,
,符弗,fu4 fit1,計仔；符fit；板斧；辦法,,方法；办法,method/tricks ,名词：古时候道士重要的法器是道符和太极拂，如果都没有了就就没办法了，现在解读为解决问题的方法，绝招,"n: In ancient times, the most important ritual implements for Taoist priests were talismans and the Tai Chi whisk. Without either, there was no way to resolve the situation. Now, it is interpreted as a method or ultimate technique for solving a problem.",,,CanTong Lexicon 2025,
,冇晒符,mou5 saai3 fu4,冇計；冇晒符弗,,没办法/没办法了/毫无办法,,,,,,CanTong Lexicon 2025,
,煞食,saat3 sik6,犀利,,厉害/在行,,形容词：在行,,,,CanTong Lexicon 2025,
,抽秤,cau1 cing3,挑刺,,抽称/挑刺/挑毛病,,,,,,CanTong Lexicon 2025,
,,,,,中招/踩坑,get stung/step on a mine/it was a letdown/it`s a miss/,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
,,,,,,,,,,,CanTong Lexicon 2025,
